Frequency [D/H],Observation time UTC,Data Source (rainfall),Rainfall [mm],PERIOD [hrs],Deficit [mm],Runoff [mm],Data source (water balance)
S,2013-11-06T11:00:00Z,S,0,6,,,
S,2013-11-06T17:00:00Z,S,8,6,,,
S,2013-11-06T23:00:00Z,S,2,6,,,
S,2013-11-07T05:00:00Z,S,11,6,,,
S,2013-11-07T11:00:00Z,S,0.8,6,,,
S,2013-11-07T17:00:00Z,S,0,6,,,
S,2013-11-07T23:00:00Z,S,0,6,,,
S,2013-11-08T05:00:00Z,S,2,6,,,
S,2013-11-08T17:00:00Z,S,0,6,,,
S,2013-11-08T23:00:00Z,S,0.2,6,,,
S,2013-11-09T05:00:00Z,S,0,6,,,
S,2013-11-09T11:00:00Z,S,0,6,,,
S,2013-11-09T17:00:00Z,S,0,6,,,
S,2013-11-09T23:00:00Z,S,0,6,,,
S,2013-11-10T05:00:00Z,S,0,6,,,
S,2013-11-10T11:00:00Z,S,0,6,,,
S,2013-11-10T17:00:00Z,S,0,6,,,
S,2013-11-10T23:00:00Z,S,0,6,,,
S,2013-11-11T05:00:00Z,S,0,6,,,
S,2013-11-11T11:00:00Z,S,0,6,,,
S,2013-11-11T17:00:00Z,S,0,6,,,
S,2013-11-11T23:00:00Z,S,0,6,,,
S,2013-11-12T05:00:00Z,S,0,6,,,
S,2013-11-12T11:00:00Z,S,0,6,,,
S,2013-11-12T17:00:00Z,S,0,6,,,
S,2013-11-12T23:00:00Z,S,0,6,,,
S,2013-11-13T05:00:00Z,S,0,6,,,
S,2013-11-13T11:00:00Z,S,0,6,,,
S,2013-11-13T17:00:00Z,S,0,6,,,
S,2013-11-13T23:00:00Z,S,0,6,,,
S,2013-11-14T05:00:00Z,S,0,6,,,
S,2013-11-14T11:00:00Z,S,0,6,,,
S,2013-11-14T17:00:00Z,S,0,6,,,
S,2013-11-14T23:00:00Z,S,0,6,,,
S,2013-11-15T05:00:00Z,S,0,6,,,
S,2013-11-15T11:00:00Z,S,0,6,,,
S,2013-11-15T17:00:00Z,S,0,6,,,
S,2013-11-15T23:00:00Z,S,0,6,,,
S,2013-11-16T05:00:00Z,S,0,6,,,
S,2013-11-16T11:00:00Z,S,0,6,,,
S,2013-11-16T17:00:00Z,S,0,6,,,
S,2013-11-16T23:00:00Z,S,0,6,,,
S,2013-11-17T05:00:00Z,S,0,6,,,
S,2013-11-17T11:00:00Z,S,0,6,,,
S,2013-11-17T17:00:00Z,S,0,6,,,
S,2013-11-17T23:00:00Z,S,0,6,,,
S,2013-11-18T11:00:00Z,S,0,6,,,
S,2013-11-18T17:00:00Z,S,0,6,,,
S,2013-11-18T23:00:00Z,S,0,6,,,
S,2013-11-19T05:00:00Z,S,0,6,,,
S,2013-11-19T11:00:00Z,S,0,6,,,
S,2013-11-19T17:00:00Z,S,0,6,,,
S,2013-11-19T23:00:00Z,S,0,6,,,
S,2013-11-20T05:00:00Z,S,0,6,,,
S,2013-11-20T11:00:00Z,S,0,6,,,
S,2013-11-20T17:00:00Z,S,0,6,,,
S,2013-11-20T23:00:00Z,S,1,6,,,
S,2013-11-21T05:00:00Z,S,0,6,,,
S,2013-11-21T11:00:00Z,S,0,6,,,
S,2013-11-21T17:00:00Z,S,0,6,,,
S,2013-11-21T23:00:00Z,S,0,6,,,
S,2013-11-22T05:00:00Z,S,0,6,,,
S,2013-11-22T11:00:00Z,S,0,6,,,
S,2013-11-22T17:00:00Z,S,0,6,,,
S,2013-11-22T23:00:00Z,S,0,6,,,
S,2013-11-23T05:00:00Z,S,0,6,,,
S,2013-11-23T11:00:00Z,S,0,6,,,
S,2013-11-23T17:00:00Z,S,0,6,,,
S,2013-11-23T23:00:00Z,S,0,6,,,
S,2013-11-24T05:00:00Z,S,0,6,,,
S,2013-11-24T11:00:00Z,S,0,6,,,
S,2013-11-24T17:00:00Z,S,0,6,,,
S,2013-11-24T23:00:00Z,S,0,6,,,
S,2013-11-25T05:00:00Z,S,0,6,,,
S,2013-11-25T11:00:00Z,S,0,6,,,
S,2013-11-25T17:00:00Z,S,0.8,6,,,
S,2013-11-25T23:00:00Z,S,0.2,6,,,
S,2013-11-26T05:00:00Z,S,0.2,6,,,
S,2013-11-26T11:00:00Z,S,0,6,,,
S,2013-11-26T17:00:00Z,S,0,6,,,
S,2013-11-26T23:00:00Z,S,0,6,,,
S,2013-11-27T05:00:00Z,S,0,6,,,
S,2013-11-27T11:00:00Z,S,5,6,,,
S,2013-11-27T17:00:00Z,S,20,6,,,
S,2013-11-27T23:00:00Z,S,1,6,,,
S,2013-11-28T05:00:00Z,S,0.2,6,,,
S,2013-11-28T11:00:00Z,S,0.2,6,,,
S,2013-11-28T17:00:00Z,S,0.6,6,,,
S,2013-11-28T23:00:00Z,S,0.8,6,,,
S,2013-11-29T05:00:00Z,S,0,6,,,
S,2013-11-29T11:00:00Z,S,0,6,,,
S,2013-11-29T17:00:00Z,S,0,6,,,
S,2013-11-29T23:00:00Z,S,0,6,,,
S,2013-11-30T05:00:00Z,S,0,6,,,
S,2013-11-30T11:00:00Z,S,0.6,6,,,
S,2013-11-30T17:00:00Z,S,0,6,,,
S,2013-11-30T23:00:00Z,S,0,6,,,
S,2013-12-01T05:00:00Z,S,0,6,,,
S,2013-12-01T11:00:00Z,S,0,6,,,
S,2013-12-01T17:00:00Z,S,0,6,,,
S,2013-12-01T23:00:00Z,S,0,6,,,
S,2013-12-02T05:00:00Z,S,0,6,,,
S,2013-12-02T11:00:00Z,S,0,6,,,
S,2013-12-02T17:00:00Z,S,0,6,,,
S,2013-12-02T23:00:00Z,S,0,6,,,
S,2013-12-03T05:00:00Z,S,0,6,,,
S,2013-12-03T11:00:00Z,S,0,6,,,
S,2013-12-03T17:00:00Z,S,10,6,,,
S,2013-12-03T23:00:00Z,S,10,6,,,
S,2013-12-04T05:00:00Z,S,3,6,,,
S,2013-12-04T11:00:00Z,S,6,6,,,
S,2013-12-04T17:00:00Z,S,3,6,,,
S,2013-12-04T23:00:00Z,S,33,6,,,
S,2013-12-05T05:00:00Z,S,6,6,,,
S,2013-12-05T11:00:00Z,S,0,6,,,
S,2013-12-05T17:00:00Z,S,0.2,6,,,
S,2013-12-05T23:00:00Z,S,0.8,6,,,
S,2013-12-06T05:00:00Z,S,0,6,,,
S,2013-12-06T11:00:00Z,S,0,6,,,
S,2013-12-06T17:00:00Z,S,0,6,,,
S,2013-12-06T23:00:00Z,S,1,6,,,
S,2013-12-07T05:00:00Z,S,0.2,6,,,
S,2013-12-07T11:00:00Z,S,0,6,,,
S,2013-12-07T17:00:00Z,S,0,6,,,
S,2013-12-07T23:00:00Z,S,1,6,,,
S,2013-12-08T05:00:00Z,S,1,6,,,
S,2013-12-08T11:00:00Z,S,0,6,,,
S,2013-12-08T17:00:00Z,S,0,6,,,
S,2013-12-08T23:00:00Z,S,0,6,,,
S,2013-12-09T05:00:00Z,S,0,6,,,
S,2013-12-09T11:00:00Z,S,0,6,,,
S,2013-12-09T17:00:00Z,S,0,6,,,
S,2013-12-09T23:00:00Z,S,0,6,,,
S,2013-12-10T05:00:00Z,S,0,6,,,
S,2013-12-10T11:00:00Z,S,0,6,,,
S,2013-12-10T17:00:00Z,S,0,6,,,
