Frequency [D/H],Observation time UTC,Data Source (rainfall),Rainfall [mm],PERIOD [hrs],Deficit [mm],Runoff [mm],Data source (water balance)
S,2019-07-12T00:00:00Z,S,5,6,,,
S,2019-07-12T06:00:00Z,S,5,6,,,
S,2019-07-12T12:00:00Z,S,2,6,,,
S,2019-07-12T18:00:00Z,S,0,6,,,
S,2019-07-13T00:00:00Z,S,0,6,,,
S,2019-07-13T06:00:00Z,S,0,6,,,
S,2019-07-13T12:00:00Z,S,0,6,,,
S,2019-07-13T18:00:00Z,S,0,6,,,
S,2019-07-14T00:00:00Z,S,13,6,,,
S,2019-07-14T06:00:00Z,S,3,6,,,
S,2019-07-14T12:00:00Z,S,2,6,,,
S,2019-07-14T18:00:00Z,S,0.9,6,,,
S,2019-07-15T00:00:00Z,S,0.1,6,,,
S,2019-07-15T06:00:00Z,S,0,6,,,
S,2019-07-15T12:00:00Z,S,0,6,,,
S,2019-07-15T18:00:00Z,S,1,6,,,
S,2019-07-16T00:00:00Z,S,2,6,,,
S,2019-07-16T06:00:00Z,S,0,6,,,
S,2019-07-16T12:00:00Z,S,1,6,,,
S,2019-07-16T18:00:00Z,S,0.3,6,,,
S,2019-07-17T00:00:00Z,S,2,6,,,
S,2019-07-17T06:00:00Z,S,2,6,,,
S,2019-07-17T12:00:00Z,S,2,6,,,
S,2019-07-17T18:00:00Z,S,0.2,6,,,
S,2019-07-18T00:00:00Z,S,0.3,6,,,
S,2019-07-18T06:00:00Z,S,0,6,,,
S,2019-07-18T12:00:00Z,S,0,6,,,
S,2019-07-18T18:00:00Z,S,0.1,6,,,
S,2019-07-19T00:00:00Z,S,10,6,,,
S,2019-07-19T06:00:00Z,S,2,6,,,
S,2019-07-19T12:00:00Z,S,0.7,6,,,
S,2019-07-19T18:00:00Z,S,6,6,,,
S,2019-07-20T00:00:00Z,S,1,6,,,
S,2019-07-20T06:00:00Z,S,4,6,,,
S,2019-07-20T12:00:00Z,S,0.9,6,,,
S,2019-07-20T18:00:00Z,S,0.1,6,,,
S,2019-07-21T00:00:00Z,S,0,6,,,
S,2019-07-21T06:00:00Z,S,0,6,,,
S,2019-07-21T12:00:00Z,S,0,6,,,
S,2019-07-21T18:00:00Z,S,0,6,,,
S,2019-07-22T00:00:00Z,S,0,6,,,
S,2019-07-22T06:00:00Z,S,0,6,,,
S,2019-07-22T12:00:00Z,S,0,6,,,
S,2019-07-22T18:00:00Z,S,0,6,,,
S,2019-07-23T00:00:00Z,S,0,6,,,
S,2019-07-23T06:00:00Z,S,0,6,,,
S,2019-07-23T12:00:00Z,S,0,6,,,
S,2019-07-23T18:00:00Z,S,0,6,,,
S,2019-07-24T00:00:00Z,S,0,6,,,
S,2019-07-24T06:00:00Z,S,0.2,6,,,
S,2019-07-24T12:00:00Z,S,0,6,,,
S,2019-07-24T18:00:00Z,S,0,6,,,
S,2019-07-25T00:00:00Z,S,0,6,,,
S,2019-07-25T06:00:00Z,S,0,6,,,
S,2019-07-25T12:00:00Z,S,0,6,,,
S,2019-07-25T18:00:00Z,S,1,6,,,
S,2019-07-26T00:00:00Z,S,0.3,6,,,
S,2019-07-26T06:00:00Z,S,6,6,,,
S,2019-07-26T12:00:00Z,S,3,6,,,
S,2019-07-26T18:00:00Z,S,2,6,,,
S,2019-07-27T00:00:00Z,S,0,6,,,
S,2019-07-27T06:00:00Z,S,0,6,,,
S,2019-07-27T12:00:00Z,S,0,6,,,
S,2019-07-27T18:00:00Z,S,0,6,,,
S,2019-07-28T00:00:00Z,S,0,6,,,
S,2019-07-28T06:00:00Z,S,0,6,,,
S,2019-07-28T12:00:00Z,S,0,6,,,
S,2019-07-28T18:00:00Z,S,0,6,,,
S,2019-07-29T00:00:00Z,S,0,6,,,
S,2019-07-29T06:00:00Z,S,0.3,6,,,
S,2019-07-29T12:00:00Z,S,7,6,,,
S,2019-07-29T18:00:00Z,S,0.2,6,,,
S,2019-07-30T00:00:00Z,S,2,6,,,
